,Framework,Category,Issue.ID,Author,Date.Opened,Number.of.Comment.s.,Date.of.first.comment,Date.of.last.time.closed,Time.before.first.comment..in.minutes.,Time.before.issue.last.closed..in.minutes.,Number.of.participants..including.the.author.and.people.who.did.not.comment.on.the.issue.thread.,Number.of.commentators,Commentators..username.alongside.the.number.of.comments.posted.,Issue.labels
21,TensorFlow,Memory inefficiency,14572,kwin-wang,2017-11-15 8:25,17,2017-12-01 1:17,2018-08-01 17:53,22612.06667,373527.8833,4,2,"{'tensorflowbutler': 15, 'surry': 2}",['stat:awaitingresponse']
22,TensorFlow,Memory inefficiency,20062,hmorimitsu,2018-06-15 14:45,3,2018-06-15 16:55,2018-06-21 18:55,130.2833333,8890.383333,2,2,"{'allenlavoie': 2, 'hmorimitsu': 1}",['No labels']
23,TensorFlow,Memory inefficiency,20218,qijimrc,2018-06-22 8:39,20,2018-06-22 18:56,2018-08-31 0:31,616.5833333,100312.05,8,6,"{'tensorflowbutler': 1, 'alextp': 2, 'qijimrc': 3, 'allenlavoie': 8, 'LeoLai930603': 5, 'rmanak': 1}",['comp:eager']
24,TensorFlow,Memory inefficiency,2942,ppwwyyxx,2016-06-18 1:17,3,2016-06-18 2:46,2016-06-22 2:33,88.85,5835.733333,5,3,"{'yaroslavvb': 1, 'mrry': 1, 'vrv': 1}",['No labels']
25,TensorFlow,Memory inefficiency,33178,algrmur,2019-10-09 16:14,32,2019-10-10 3:15,2020-01-29 1:07,661.1,160373.7833,18,17,"{'oanush': 2, 'akanyaani': 2, 'algrmur': 3, 'Tetragramm': 5, 'arthurflor23': 3, 'sonfire86': 4, 'astier': 1, 'arnemoos': 1, 'dgrahn': 1, 'uahic': 2, 'johnght': 1, 'kohjingyu': 1, 'goldiegadde': 1, 'qlzh727': 2, 'tensorflow-bot': 1, 'hunter2048': 1, 'Hhessling': 1}","['TF2.0', 'comp:keras', 'stat:awaitingtensorflower', 'type:bug']"
26,Pytorch,Memory inefficiency,1449,ikostrikov,2017-05-02 21:08,1,2017-05-03 16:05,2017-05-03 17:29,1136.766667,1220.666667,2,1,{'ezyang': 1},['No labels']
27,Pytorch,Memory inefficiency,3498,grantsrb,2017-11-06 8:39,0,No comments,2017-11-07 17:47,No comments,1988.033333,3,0,{},['No labels']
28,TensorFlow,Memory inefficiency,11948,riklopfer,2017-08-01 18:52,13,2017-08-02 18:00,2018-02-03 1:35,1387.366667,266802.7333,6,5,"{'shivaniag': 1, 'riklopfer': 6, 'asimshankar': 2, 'tensorflowbutler': 3, 'drpngx': 1}",['type:bug']
29,TensorFlow,Memory inefficiency,14800,orpillar,2017-11-22 16:13,8,2017-11-22 16:42,2017-12-11 1:44,28.4,26491.21667,5,3,"{'carlthome': 2, 'orpillar': 3, 'yongtang': 3}","['stat:contributionswelcome', 'type:bug']"
30,TensorFlow,Memory inefficiency,14800,orpillar,2017-11-22 16:13,8,2017-11-22 16:42,2017-12-11 1:44,28.4,26491.21667,5,3,"{'carlthome': 2, 'orpillar': 3, 'yongtang': 3}","['stat:contributionswelcome', 'type:bug']"
31,TensorFlow,Memory inefficiency,17698,raintung,2018-03-14 3:10,5,2018-04-16 12:31,2018-07-10 22:47,48081.2,171096.95,4,4,"{'raintung': 1, 'tensorflowbutler': 2, 'jart': 1, 'meggamind': 1}","['stat:contributionswelcome', 'type:bug']"
32,TensorFlow,Memory inefficiency,23924,w4-sjcho,2018-11-22 14:45,2,2018-11-22 16:13,2018-11-26 19:11,88.21666667,6026.2,3,2,"{'artsobolev': 1, 'mrry': 1}","['stat:awaitingtensorflower', 'type:bug']"
33,TensorFlow,Memory inefficiency,27288,irvingzhang0512,2019-03-29 13:05,14,2019-04-02 22:49,2019-05-27 6:58,6343.45,84592.71667,7,6,"{'alextp': 4, 'irvingzhang0512': 5, 'jaingaurav': 2, 'XuesongYang': 1, 'pmwaniki': 1, 'tensorflow-bot': 1}","['comp:ops', 'type:bug']"
34,TensorFlow,Memory inefficiency,19385,hmorimitsu,2018-05-18 14:01,5,2018-05-22 0:00,2018-06-12 21:43,4919.233333,36461.88333,3,3,"{'allenlavoie': 3, 'akshaym': 1, 'hmorimitsu': 1}",['No labels']
35,Pytorch,Memory inefficiency,15792,ShigekiKarita,2019-01-07 13:26,5,2019-01-10 2:45,2019-01-10 17:05,3678.9,4538.9,3,3,"{'ShigekiKarita': 3, 'ezyang': 1, 'goldsborough': 1}",['highpriority']
36,Pytorch,Memory inefficiency,1963,zihangdai,2017-07-02 6:07,7,2017-07-07 18:09,2017-07-10 22:46,7921.233333,12518.21667,4,4,"{'zihangdai': 4, 'donglixp': 1, 'colesbury': 1, 'soumith': 1}",['highpriority']
37,Pytorch,Memory inefficiency,24200,valtron,2019-08-12 21:36,2,2019-08-13 9:24,2019-08-28 14:52,708.3,22636.18333,3,2,"{'pietern': 1, 'SsnL': 1}","['highpriority', 'module:internals', 'module:memoryusage', 'module:numpy', 'triaged']"
38,Pytorch,Memory inefficiency,51349,ventusff,2021-01-29 13:08,4,2021-01-30 3:43,2021-02-04 19:57,875.7333333,9049.583333,5,3,"{'khalilsarwari': 1, 'albanD': 2, 'soulitzer': 1}","['module:autograd', 'module:memoryusage', 'triaged']"
39,TensorFlow,Memory inefficiency,19385,hmorimitsu,2018-05-18 14:01,5,2018-05-22 0:00,2018-06-12 21:43,4919.233333,36461.88333,3,3,"{'allenlavoie': 3, 'akshaym': 1, 'hmorimitsu': 1}",['No labels']
40,Pytorch,Memory inefficiency,2287,hongyi-zhang,2017-08-03 22:01,9,2017-08-03 22:17,2017-08-10 18:09,16.86666667,9848.383333,5,5,"{'gchanan': 5, 'hyqneuron': 1, 'pclucas14': 1, 'hongyi-zhang': 1, 'Ossidy': 1}",['No labels']
41,Pytorch,Memory inefficiency,23580,jacobrgardner,2019-07-31 0:34,9,2019-07-31 3:05,2019-08-03 5:36,150.05,4621.333333,4,3,"{'SsnL': 1, 'vishwakftw': 6, 'jacobrgardner': 2}","['module:performance', 'triagereview']"
42,Pytorch,Memory inefficiency,50522,liuyhlinux,2021-01-14 3:40,8,2021-01-14 23:00,2021-01-19 0:39,1160.066667,7019.633333,4,3,"{'pritamdamania87': 5, 'mrshenli': 1, 'liuyhlinux': 2}","['highpriority', 'module:rpc', 'module:tensorpipe', 'oncall:distributed', 'triagereview', 'triaged']"
43,TensorFlow,Memory inefficiency,11273,drasmuss,2017-07-04 14:24,1,No comments,2017-07-06 17:11,No comments,3047.183333,3,1,{'drasmuss': 1},['stat:awaitingtensorflower']
44,TensorFlow,Memory inefficiency,18292,voegtlel,2018-04-06 10:03,7,2018-04-06 22:18,2018-06-30 22:38,734.85,123154.8333,6,6,"{'facaiy': 1, 'voegtlel': 1, 'drpngx': 2, 'zffchen78': 1, 'tensorflowbutler': 1, 'bhack': 1}",['stat:contributionswelcome']
45,TensorFlow,Memory inefficiency,35084,QiJune,2019-12-13 10:10,15,2019-12-16 11:51,2020-07-23 21:31,4421.616667,321801.6167,11,8,"{'ravikyram': 1, 'QiJune': 1, 'jsimsa': 2, 'kkimdev': 2, 'loretoparisi': 3, 'zaccharieramzi': 3, 'amahendrakar': 1, 'tensorflow-butler': 2}","['TF2.0', 'comp:eager', 'type:performance']"
46,TensorFlow,Memory inefficiency,13999,Mahdizade,2017-10-26 14:25,7,2017-10-26 22:01,2017-10-30 23:42,455.8333333,6317.183333,6,5,"{'michaelisard': 1, 'mrry': 2, 'ebrevdo': 2, 'super13': 1, 'oferyo': 1}",['type:bug']
47,TensorFlow,Memory inefficiency,14800,orpillar,2017-11-22 16:13,8,2017-11-22 16:42,2017-12-11 1:44,28.4,26491.21667,5,3,"{'carlthome': 2, 'orpillar': 3, 'yongtang': 3}","['stat:contributionswelcome', 'type:bug']"
48,TensorFlow,Memory inefficiency,14800,orpillar,2017-11-22 16:13,8,2017-11-22 16:42,2017-12-11 1:44,28.4,26491.21667,5,3,"{'carlthome': 2, 'orpillar': 3, 'yongtang': 3}","['stat:contributionswelcome', 'type:bug']"
49,TensorFlow,Memory inefficiency,37515,Tuxius,2020-03-11 20:31,16,2020-03-14 18:06,2020-03-24 1:56,4175.65,17605.43333,11,9,"{'jsimsa': 2, 'Tuxius': 4, 'aaudiber': 1, 'yakhyo': 1, 'wendell-hom': 2, 'lcalle': 1, 'zhangyaochn': 2, 'ybagdasa': 2, 'Zen3515': 1}","['TF2.1', 'comp:data', 'type:performance']"
50,Pytorch,Hardware component communication overhead,44484,robieta,2020-09-10 17:57,5,2020-09-11 4:21,2021-03-10 14:58,623.55,260461.0833,7,4,"{'ezyang': 1, 'ilia-cher': 1, 'gchanan': 1, 'albanD': 2}","['highpriority', 'module:performance', 'module:profiler', 'triaged']"
51,Pytorch,Hardware component communication overhead,45604,tomlifu,2020-09-30 20:51,5,2020-10-02 19:52,2021-01-08 0:17,2820.916667,142766.35,8,5,"{'Lilyjjo': 1, 'Krovatkin': 1, 'bertmaher': 1, 'ZolotukhinM': 1, 'eellison': 1}",['oncall:jit']
52,Pytorch,Hardware component communication overhead,8817,tbenst,2018-06-23 1:19,23,2018-06-24 20:24,2019-09-27 23:59,2585.15,665199.5333,11,7,"{'SsnL': 5, 'ailzhang': 1, 'tbenst': 2, 'fmassa': 3, 'prasunanand': 9, 'ezyang': 1, 'ngimel': 2}","['highpriority', 'module:cuda', 'module:performance', 'triaged']"
53,TensorFlow,Hardware component communication overhead,11411,ahaider3,2017-07-10 15:50,33,2017-07-10 18:31,2018-03-26 20:14,161.5166667,373224.1667,8,8,"{'byronyi': 11, 'ahaider3': 4, 'eamartin': 2, 'jart': 3, 'suiyuan2009': 4, 'futurely': 1, 'littleDing': 1, 'tensorflowbutler': 7}",['type:bug']
54,TensorFlow,Hardware component communication overhead,6256,yaroslavvb,2016-12-11 23:57,18,2016-12-12 0:30,2017-06-20 23:04,32.63333333,274986.7833,5,5,"{'michaelisard': 1, 'mrry': 7, 'shiyemin': 1, 'yaroslavvb': 8, 'skye': 1}",['type:bug']
55,Pytorch,Threading inefficiency,17501,Coolnesss,2019-02-26 14:05,44,2019-02-27 19:34,2020-05-10 18:58,1768.716667,632453.4,12,10,"{'Coolnesss': 9, 'soumith': 1, 't-vi': 7, 'ezyang': 2, 'dangpzanco': 1, 'nikitaved': 15, 'albanD': 1, 'paplhjak': 1, 'ngimel': 6, 'rgommers': 1}","['highpriority', 'module:autograd', 'module:derivatives', 'module:performance', 'triaged']"
56,Pytorch,Threading inefficiency,17501,Coolnesss,2019-02-26 14:05,44,2019-02-27 19:34,2020-05-10 18:58,1768.716667,632453.4,12,10,"{'Coolnesss': 9, 'soumith': 1, 't-vi': 7, 'ezyang': 2, 'dangpzanco': 1, 'nikitaved': 15, 'albanD': 1, 'paplhjak': 1, 'ngimel': 6, 'rgommers': 1}","['highpriority', 'module:autograd', 'module:derivatives', 'module:performance', 'triaged']"
57,Pytorch,Threading inefficiency,9646,mruberry,2018-07-20 18:36,2,2018-07-25 21:28,2018-09-08 17:10,7372.833333,71914.35,2,2,"{'apaszke': 1, 'mruberry': 1}",['No labels']
58,Pytorch,Threading inefficiency,39694,mcarilli,2020-06-09 3:04,1,2020-06-09 3:11,2020-10-29 22:45,7.383333333,205661.4667,3,1,{'SsnL': 1},"['module:cuda', 'module:performance', 'triaged']"
59,Pytorch,Threading inefficiency,36452,gzygzy9211,2020-04-12 8:45,2,2020-04-25 0:26,2020-04-25 0:26,18221.41667,18221.41667,3,2,"{'gzygzy9211': 1, 'xwang233': 1}","['module:performance', 'triaged']"
60,Pytorch,Threading inefficiency,37259,SSS135,2020-04-24 20:12,11,2020-04-26 20:25,2020-05-11 20:26,2893.883333,24494.41667,7,4,"{'ngimel': 2, 'kshitij12345': 1, 'peterbell10': 3, 'ilia-cher': 5}","['hasworkaround', 'highpriority', 'module:multithreading', 'module:performance', 'triaged']"
61,Pytorch,Threading inefficiency,25010,rwightman,2019-08-22 4:41,8,2019-08-22 13:52,2019-08-23 19:42,551.0833333,2341.366667,4,3,"{'rwightman': 4, 'SsnL': 3, 'colesbury': 1}","['module:cpu', 'module:dataloader', 'module:multithreading', 'triaged']"
62,Pytorch,Threading inefficiency,32008,milutter,2020-01-09 21:53,15,2020-01-18 1:02,2020-02-13 22:32,11708.85,50439.05,8,5,"{'emfomenk': 1, 'milutter': 2, 'CaoZhongZ': 4, 'ezyang': 1, 'imaginary-person': 3}","['highpriority', 'module:memoryusage', 'module:performance', 'triaged']"
63,TensorFlow,Threading inefficiency,3470,hholst80,2016-07-22 21:29,13,2016-07-22 22:24,2016-08-12 17:51,55.41666667,30022.48333,5,5,"{'concretevitamin': 1, 'hholst80': 4, 'michaelisard': 1, 'mrry': 6, 'girving': 1}",['No labels']
64,Pytorch,Threading inefficiency,24080,linziyi96,2019-08-09 7:27,7,2019-08-09 14:39,2019-10-04 6:31,432.4333333,80584.36667,5,5,"{'ezyang': 2, 'ilia-cher': 2, 'linziyi96': 1, 'peterbell10': 1, 'soumith': 1}","['highpriority', 'module:multithreading', 'module:openmp', 'triaged']"
65,Pytorch,Threading inefficiency,28198,JianpingChen066,2019-10-17 3:07,1,2019-10-21 17:13,2019-10-31 14:18,6605.816667,20831.25,5,1,{'jerryzh168': 1},"['highpriority', 'triaged']"
66,Pytorch,Threading inefficiency,21537,hrpan,2019-06-07 20:19,13,2019-06-10 15:55,2019-07-16 16:31,4056.016667,55931.45,11,8,"{'zdevito': 3, 'bddppq': 1, 'jgong5': 2, 'houseroad': 2, 'yinghai': 1, 'Jianhui-Li': 1, 'gujinghui': 2, 'uyongw': 1}","['highpriority', 'module:memoryusage', 'module:mkldnn', 'triaged']"
67,Pytorch,Threading inefficiency,23642,alpha0422,2019-08-01 2:38,1,2019-08-01 4:57,2019-08-01 22:26,139.55,1188.566667,4,1,{'soumith': 1},"['module:dataloader', 'module:performance', 'triaged']"
68,Pytorch,Other,82,colesbury,2016-10-01 20:36,0,No comments,2016-10-17 19:15,No comments,22958.18333,2,0,{},['todo']
69,Pytorch,Traditional SE inefficiency,10757,weiyangfb,2018-08-21 23:28,1,No comments,2018-09-07 23:16,No comments,24467.56667,2,1,{'weiyangfb': 1},['todo']
70,Pytorch,Traditional SE inefficiency,36120,skyw,2020-04-07 3:07,2,2020-04-11 18:56,2020-04-15 23:21,6708.8,12733.78333,4,2,"{'rckitson': 1, 'pritamdamania87': 1}","['module:performance', 'module:sparse', 'triaged']"
71,Pytorch,Traditional SE inefficiency,10851,gan-lin,2018-08-24 14:26,0,No comments,2018-08-29 19:27,No comments,7500.383333,2,0,{},['mediumpriority(thistagisdeprecated)']
72,Pytorch,Traditional SE inefficiency,30831,rgommers,2019-12-05 18:41,8,2019-12-05 18:55,2020-01-16 15:13,14.75,60272.13333,4,3,"{'rgommers': 5, 'ngoldbaum': 2, 'mingzhe09088': 1}","['highpriority', 'module:cpu', 'module:performance', 'triaged']"
73,Pytorch,Traditional SE inefficiency,31497,vadimkantorov,2019-12-19 21:13,15,2019-12-19 22:22,2020-01-06 23:21,69.11666667,26048.56667,7,7,"{'ngimel': 1, 'cpuhrsch': 1, 'vadimkantorov': 5, 'OhadRubin': 1, 'ezyang': 3, 'albanD': 3, 'peterbell10': 1}","['highpriority', 'module:autograd', 'module:cuda', 'module:memoryusage', 'triaged']"
74,Pytorch,Traditional SE inefficiency,31690,zplizzi,2019-12-29 16:38,3,2019-12-30 0:56,2020-10-22 20:44,497.5333333,429365.85,4,2,"{'ngimel': 1, 'linjiapro': 2}","['module:cudnn', 'triaged']"
75,Pytorch,Traditional SE inefficiency,32914,realiti4,2020-02-02 10:16,41,2020-02-02 10:32,2020-02-04 20:43,16.08333333,3507.433333,3,2,"{'peterjc123': 23, 'realiti4': 12}","['module:build', 'triaged']"
76,Pytorch,Traditional SE inefficiency,33544,markovka17,2020-02-20 11:35,0,No comments,2020-02-21 23:11,No comments,2136.45,3,0,{},"['module:numpy', 'module:performance', 'module:random', 'triaged']"
77,Pytorch,Traditional SE inefficiency,3824,hudongloop,2017-11-22 1:44,5,2017-11-22 15:26,2018-06-28 0:18,822.3333333,313833.9,5,4,"{'zou3519': 2, 'soumith': 1, 'colesbury': 1, 'li-roy': 1}",['highpriority']
78,Pytorch,Traditional SE inefficiency,3835,apaszke,2017-11-22 13:58,3,2017-12-01 21:55,2018-06-28 0:17,13437.5,313099.15,4,3,"{'soumith': 1, 'dmarnerides': 1, 'li-roy': 1}",['highpriority']
79,Pytorch,Traditional SE inefficiency,3983,andreasrobinson,2017-12-02 20:46,2,2020-06-12 4:39,2020-06-12 4:39,1328153,1328153,2,2,"{'andreasrobinson': 1, 'mruberry': 1}",['No labels']
80,Pytorch,Traditional SE inefficiency,41115,ngimel,2020-07-08 5:18,0,No comments,2020-07-10 16:22,No comments,3544.683333,2,0,{},"['highpriority', 'oncall:quantization', 'triagereview']"
81,Pytorch,Traditional SE inefficiency,41865,estrulyov,2020-07-22 19:55,22,2020-07-23 18:40,2020-08-05 18:53,1365.2,20097.75,7,5,"{'ngimel': 1, 'dskhudia': 3, 'estrulyov': 9, 'ezyang': 1, 'wconstab': 8}","['days', 'highpriority', 'module:internals', 'module:performance', 'oncall:jit', 'oncall:quantization', 'triagereview', 'triaged']"
82,Pytorch,Traditional SE inefficiency,42213,apeguero1,2020-07-29 1:40,10,2020-07-29 11:35,2020-08-12 15:40,595.3833333,21000.1,6,5,"{'mthrok': 3, 'apeguero1': 2, 'mruberry': 1, 'mattip': 2, 'ngimel': 2}","['highpriority', 'module:performance', 'triaged']"
83,Pytorch,Traditional SE inefficiency,43143,albanD,2020-08-17 16:13,9,2020-08-17 17:06,2020-08-21 0:39,53.06666667,4826.733333,5,5,"{'izdeby': 1, 'ezyang': 1, 'malfet': 4, 'anjali411': 1, 'albanD': 2}","['highpriority', 'module:complex']"
